ID,NOMBRE_JUGADOR,POS,EQUIPO,LINK_JUGADOR,MINUTOS,GOLES,GOLES/90 HIST,MINUTOS ULT 3,GOLES ULT 3,GOLES/90 ULT 3,MINUTOS 2025,GOLES 2025,GOLES/90 2025
1203749,Daniel Zabala,DEF,Huracán,https://www.transfermarkt.es/daniel-zabala/profil/spieler/1203749,1228,1,0.07,1228,1,0.07,73,0,0.0
674391,César Ibáñez,DEF,Huracán,https://www.transfermarkt.es/cesar-ibanez/profil/spieler/674391,8245,2,0.02,5311,1,0.02,852,1,0.11
1174823,Leandro Lescano,DEF,Huracán,https://www.transfermarkt.es/leandro-lescano/profil/spieler/1174823,2145,3,0.13,2145,3,0.13,48,0,0.0
552628,Hernán de la Fuente,DEF,Huracán,https://www.transfermarkt.es/hernan-de-la-fuente/profil/spieler/552628,10085,7,0.06,4309,3,0.06,93,0,0.0
355900,Tomás Guidara,DEF,Huracán,https://www.transfermarkt.es/tomas-guidara/profil/spieler/355900,16731,0,0.0,5838,0,0.0,807,0,0.0
263032,Víctor Cantillo,VOL,Huracán,https://www.transfermarkt.es/victor-cantillo/profil/spieler/263032,24890,6,0.02,5792,0,0.0,3,0,0.0
471657,Emmanuel Ojeda,VOL,Huracán,https://www.transfermarkt.es/emmanuel-ojeda/profil/spieler/471657,9683,5,0.05,5247,3,0.05,214,1,0.42
863981,Agostino Spina,VOL,Huracán,https://www.transfermarkt.es/agostino-spina/profil/spieler/863981,5246,3,0.05,5045,2,0.04,-,0,0.0
125907,Leonardo Gil,VOL,Huracán,https://www.transfermarkt.es/leonardo-gil/profil/spieler/125907,34603,31,0.08,9672,13,0.12,900,0,0.0
839031,Leonel Pérez,VOL,Huracán,https://www.transfermarkt.es/leonel-perez/profil/spieler/839031,2578,2,0.07,2578,2,0.07,783,0,0.0
342149,Gabriel Alanís,VOL,Huracán,https://www.transfermarkt.es/gabriel-alanis/profil/spieler/342149,13683,15,0.1,6334,9,0.13,779,0,0.0
654733,Franco Watson,VOL,Huracán,https://www.transfermarkt.es/franco-watson/profil/spieler/654733,5161,7,0.12,3702,7,0.17,186,0,0.0
709552,Rodrigo Cabral,DEL,Huracán,https://www.transfermarkt.es/rodrigo-cabral/profil/spieler/709552,6634,6,0.08,5139,5,0.09,39,1,2.31
632797,Matko Miljevic,VOL,Huracán,https://www.transfermarkt.es/matko-miljevic/profil/spieler/632797,3857,8,0.19,2921,5,0.15,592,2,0.3
477458,Walter Mazzantti,DEL,Huracán,https://www.transfermarkt.es/walter-mazzantti/profil/spieler/477458,14525,30,0.19,8698,17,0.18,778,1,0.12
636441,Agustín Urzi,DEL,Huracán,https://www.transfermarkt.es/agustin-urzi/profil/spieler/636441,9431,8,0.08,5335,6,0.1,94,0,0.0
384761,Leonardo Sequeira,DEL,Huracán,https://www.transfermarkt.es/leonardo-sequeira/profil/spieler/384761,12957,29,0.2,4238,10,0.21,179,0,0.0
503001,Matías Tissera,DEL,Huracán,https://www.transfermarkt.es/matias-tissera/profil/spieler/503001,7997,55,0.62,3526,29,0.74,707,5,0.64
364945,Eric Ramírez,DEL,Huracán,https://www.transfermarkt.es/eric-ramirez/profil/spieler/364945,11373,32,0.25,7049,22,0.28,541,3,0.5
88049,Ramón Ábila,DEL,Huracán,https://www.transfermarkt.es/ramon-abila/profil/spieler/88049,24247,149,0.55,6697,24,0.32,4,0,0.0
401587,Franco Petroli,ARQ,Godoy Cruz,https://www.transfermarkt.es/franco-petroli/profil/spieler/401587,7020,0,0.0,7020,0,0.0,990,0,0.0
332248,Roberto Ramírez,ARQ,Godoy Cruz,https://www.transfermarkt.es/roberto-ramirez/profil/spieler/332248,8225,0,0.0,3729,0,0.0,-,0,0.0
1160849,Edilson Salinas,ARQ,Godoy Cruz,https://www.transfermarkt.es/edilson-salinas/profil/spieler/1160849,2610,0,0.0,2610,0,0.0,270,0,0.0
131219,Federico Rasmussen,DEF,Godoy Cruz,https://www.transfermarkt.es/federico-rasmussen/profil/spieler/131219,14897,2,0.01,10333,0,0.0,720,0,0.0
856020,Tomás Rossi,DEF,Godoy Cruz,https://www.transfermarkt.es/tomas-rossi/profil/spieler/856020,9677,5,0.05,7436,5,0.06,302,0,0.0
1103933,Mateo Mendoza,DEF,Godoy Cruz,https://www.transfermarkt.es/mateo-mendoza/profil/spieler/1103933,2074,3,0.13,2074,3,0.13,900,0,0.0
849532,Leandro Quiroz,DEF,Godoy Cruz,https://www.transfermarkt.es/leandro-quiroz/profil/spieler/849532,3042,1,0.03,3042,1,0.03,90,0,0.0
935331,Juan Meli,DEF,Godoy Cruz,https://www.transfermarkt.es/andres-meli/profil/spieler/935331,4963,2,0.04,4951,2,0.04,720,0,0.0
1305914,Juan Morán,DEF,Godoy Cruz,https://www.transfermarkt.es/juan-moran/profil/spieler/1305914,2778,3,0.1,2778,3,0.1,270,0,0.0
754470,Lucas Arce,DEF,Godoy Cruz,https://www.transfermarkt.es/lucas-arce/profil/spieler/754470,12870,3,0.02,9717,2,0.02,478,0,0.0
116163,Leonardo Jara,DEF,Godoy Cruz,https://www.transfermarkt.es/leonardo-jara/profil/spieler/116163,25530,8,0.03,4903,2,0.04,452,0,0.0
426471,Facundo Ardiles,DEF,Godoy Cruz,https://www.transfermarkt.es/facundo-ardiles/profil/spieler/426471,5771,0,0.0,4480,0,0.0,45,0,0.0
1159862,Francisco Facello,DEF,Godoy Cruz,https://www.transfermarkt.es/francisco-facello/profil/spieler/1159862,1811,1,0.05,1811,1,0.05,90,0,0.0
